"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JavaScript JSX", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\slashCommandProcessor.ts", "TypeScript", 1001, 0, 0, 0, 0, 0, 0, 41, 70, 1112
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useAuthCommand.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 5, 11, 77
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useAutoAcceptIndicator.test.ts", "TypeScript", 237, 0, 0, 0, 0, 0, 0, 6, 34, 277
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useAutoAcceptIndicator.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 6, 9, 50
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useBracketedPaste.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 11, 7, 38
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useCompletion.integration.test.ts", "TypeScript", 257, 0, 0, 0, 0, 0, 0, 23, 52, 332
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useCompletion.ts", "TypeScript", 376, 0, 0, 0, 0, 0, 0, 26, 48, 450
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useConsoleMessages.test.ts", "TypeScript", 157, 0, 0, 0, 0, 0, 0, 16, 40, 213
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useConsoleMessages.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 6, 13, 90
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useEditorSettings.test.ts", "TypeScript", 225, 0, 0, 0, 0, 0, 0, 6, 53, 284
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useEditorSettings.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 5, 9, 76
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useGeminiStream.test.tsx", "TypeScript JSX", 0, 881, 0, 0, 0, 0, 0, 61, 117, 1059
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useGeminiStream.ts", "TypeScript", 698, 0, 0, 0, 0, 0, 0, 40, 58, 796
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useGitBranchName.test.ts", "TypeScript", 183, 0, 0, 0, 0, 0, 0, 16, 39, 238
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useGitBranchName.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 11, 10, 80
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useHistoryManager.test.ts", "TypeScript", 166, 0, 0, 0, 0, 0, 0, 7, 30, 203
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useHistoryManager.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 24, 12, 112
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useInputHistory.test.ts", "TypeScript", 218, 0, 0, 0, 0, 0, 0, 11, 33, 262
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useInputHistory.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 7, 14, 112
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useKeypress.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 20, 12, 105
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useLoadingIndicator.test.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 9, 24, 142
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useLoadingIndicator.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 7, 9, 58
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\useLogger.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 13, 5, 33
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\usePhraseCycler.test.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 20, 24, 146
